match_id,tournament_id,p1_id,p2_id,p1_character,p2_character,p1_score,p2_score,Winner_id
66,20,1258,4905,Nahum,Upton,2,0,1258
67,55,161,712,Marco,Billye,0,2,712
68,21,3756,1775,Gannon,Keely,0,2,1775
69,50,2133,1941,Stefanie,Antoinette,1,2,1941
70,15,3398,158,Ofelia,Emery,0,2,158
71,7,1211,3229,Wilhelmina,Cecil,0,2,3229
72,75,2419,4603,Jerrilee,Gregoire,1,2,4603
73,97,3031,2993,Sibella,Hannis,2,1,3031
74,105,1859,3993,Erskine,Kale,1,2,3993
75,39,4769,4312,Amalia,Osbourne,0,2,4312
76,110,1504,2774,Jesse,Alain,2,1,1504
77,60,3527,634,Franzen,Barnard,2,0,3527
78,27,4537,1947,Remington,Dante,1,2,1947
79,61,903,1447,Letizia,Teddie,0,2,1447
80,31,1218,1352,Shirley,Antonio,0,2,1352
81,47,882,2605,Cassandry,Neilla,1,2,2605
82,79,3116,3414,Nigel,Justin,0,2,3414
83,102,4696,2134,Tandi,Conny,2,1,4696
84,11,4043,1997,Ellyn,Tracy,1,2,1997
85,16,1569,3838,Minette,Marley,0,2,3838
86,81,3028,4223,Clive,Jarrid,2,0,3028
87,8,3971,3867,Bendix,Vanna,0,2,3867
88,80,1301,2538,Puff,Leela,1,2,2538
89,98,3826,568,Reese,Milly,1,2,568
90,99,4870,2276,Reinaldos,Halimeda,2,0,4870
91,93,273,3100,Dominica,Carol,0,2,3100
92,106,2134,2704,Nataline,Elias,0,2,2704
93,111,467,319,Humfrid,Reginald,0,2,319
94,39,2774,4575,Mirabel,Carena,0,2,4575
95,77,1018,3838,Conan,Mozelle,1,2,3838
96,69,162,3407,Merilyn,Wit,0,2,3407
97,109,4571,1296,Sander,Nonah,1,2,1296
98,28,3379,2068,Eran,Maurice,1,2,2068
99,25,2986,2806,Obidiah,Sallee,0,2,2806
100,58,716,500,Adair,Calhoun,2,0,716
101,70,3110,4302,Merwin,Merwyn,2,0,3110
102,100,1679,3352,Amil,Reagan,1,2,3352
103,31,764,3496,Phaidra,Shir,2,0,764
104,109,2003,1883,Yule,Niko,1,2,1883
105,69,4174,4953,Rudy,Tris,1,2,4953
106,33,3227,4825,Gratia,Davie,2,0,3227
107,79,2576,4360,Killie,Corabelle,0,2,4360
108,10,2872,1086,Meris,Fidelia,0,2,1086
109,85,4624,3910,Cole,Elsinore,1,2,3910
110,15,4450,1454,Aleksandr,Merla,2,1,4450
111,112,1746,1868,Lynde,Ruperto,2,0,1746
112,47,1629,1189,Charlotte,Garreth,1,2,1189
113,27,8,4344,Cheri,Rana,1,2,4344
114,95,3313,3563,Bax,Bent,1,2,3563
115,1,1390,3302,Carlynn,Lotta,2,0,1390
116,47,384,1792,Letti,Dayle,0,2,1792
117,45,4838,1281,Andrus,Timothea,2,1,4838
118,87,4274,2910,Sebastian,Raimondo,0,2,2910
119,116,1532,1023,Heidi,Curtice,0,2,1023
120,6,4999,3464,Sheela,Warner,0,2,3464
121,120,2195,4086,Garreth,Jeralee,1,2,4086
122,91,4334,3522,Ferne,Abelard,0,2,3522
123,7,3278,2081,Stephanus,Suzette,0,2,2081
124,109,3528,1021,Berty,Norah,0,2,1021
125,101,4535,4561,Annabell,Cameron,0,2,4561
126,113,3233,4605,Patience,Juliette,1,2,4605
127,104,3997,1518,Audi,Shae,2,0,3997
128,2,575,918,Roch,Kirby,1,2,918
129,12,2683,3525,Kessia,Merill,1,2,3525
130,63,1124,2059,Georgie,Cornie,1,2,2059
131,47,2899,4595,Tatiana,Jeramey,1,2,4595
132,88,4386,3878,Pegeen,Lombard,0,2,3878
133,120,822,1769,Sharron,Chrissy,1,2,1769
134,85,738,586,Mohandas,Opaline,0,2,586
135,25,2470,2173,Jeanelle,Meier,0,2,2173
136,40,774,4268,Korella,Royce,1,2,4268
137,81,1381,1601,Carol-jean,Antonio,2,1,1381
138,45,2244,4955,Des,Arman,0,2,4955
139,7,4152,3658,Courtenay,April,1,2,3658
140,51,1466,4416,Felipe,Gal,2,0,1466
141,48,1353,2606,Barnard,Northrop,2,1,1353
142,41,4753,4034,Martha,Elysia,0,2,4034
143,79,396,3946,Rosie,Adore,0,2,3946
144,14,4364,1885,Luigi,Bryon,1,2,1885
145,72,720,4286,Clim,Ranice,1,2,4286
146,62,3841,570,Tommie,Gibbie,0,2,570
147,80,761,2817,Xever,Spencer,1,2,2817
148,77,1934,2411,Samuele,Tiertza,2,1,1934
149,27,665,573,Anne,Fanechka,0,2,573
150,105,4727,1480,Ly,Concettina,1,2,1480
151,95,237,1583,Tasia,Cordula,0,2,1583
152,102,3951,2679,Gussi,Sarine,0,2,2679
153,31,598,3024,Carrie,Wenonah,0,2,3024
154,71,542,3251,Lillian,Em,1,2,3251
155,96,2227,2363,Dinah,Stace,1,2,2363
156,22,4639,3875,Maximilien,Nickolas,1,2,3875
157,40,3906,1248,Jennifer,Riannon,2,1,3906
158,43,841,2128,Fonsie,Sid,0,2,2128
159,27,2548,1057,Kirby,Douglass,0,2,1057
160,39,673,1853,Linea,Luisa,0,2,1853
161,118,4474,372,Vergil,Terrill,2,0,4474
162,74,3212,404,Nefen,Ayn,0,2,404
163,22,1194,1999,Paxon,Hughie,0,2,1999
164,104,2499,2967,Camey,Taddeo,2,1,2499
165,47,4356,906,Kenneth,Alaric,1,2,906
166,116,1320,3215,Cheryl,Myrna,2,1,1320
167,87,2284,3178,Tilda,Sherm,2,1,2284
168,60,2907,3046,Sara,Ranee,0,2,3046
169,6,1430,3917,Kasey,Estelle,2,1,1430
170,52,4483,4434,Wilona,Roby,2,0,4483
171,28,2141,517,Kerianne,Mendy,1,2,517
172,5,2364,4809,Dall,Dorry,1,2,4809
173,6,3155,3268,Kile,Ali,0,2,3268
174,111,900,4401,Danita,Barclay,1,2,4401
175,44,3016,3951,Lannie,Carleton,1,2,3951
176,99,3187,410,Madeline,Liz,0,2,410
177,40,2435,3552,Domini,Harland,1,2,3552
178,49,3948,938,Cornell,Ricki,0,2,938
179,18,1365,4079,Ches,Rance,1,2,4079
180,104,3126,1387,Shepperd,Glenine,1,2,1387
181,70,3568,3515,Blaine,Miller,0,2,3515
182,51,4378,4580,Alex,Sharia,0,2,4580
183,95,2157,1647,Jolynn,Henderson,0,2,1647
184,24,1248,3999,Nina,Daisie,1,2,3999
185,61,1236,1675,Corabella,Irwinn,2,1,1236
186,35,288,2998,Debora,Geoff,0,2,2998
187,34,2759,2300,Berke,Emyle,2,0,2759
188,23,1234,3544,Lindie,Odelinda,0,2,3544
189,56,889,3513,Colver,Monica,0,2,3513
190,32,792,1638,Merv,Raeann,1,2,1638
191,34,3511,3208,Hube,Nanci,2,1,3511
192,42,2614,1035,Zaneta,Kandace,2,1,2614
193,69,311,3487,Lucio,Shelly,2,0,311
194,33,3549,4743,Whittaker,Amie,0,2,4743
195,106,1835,4894,Ezri,Ileane,0,2,4894
196,72,2993,4936,Dalt,Jeth,1,2,4936
197,76,1021,4405,Justis,Jaimie,2,1,1021
198,103,2925,3368,Ben,Hubey,0,2,3368
199,39,211,3248,Stephen,Blondy,2,0,211
200,82,4153,4845,Thain,Lebbie,2,0,4153
201,101,4152,1839,Camellia,Oran,2,1,4152
202,44,2303,4499,Tania,Natale,0,2,4499
203,41,2707,1025,Scott,Yorgo,1,2,1025
204,29,3811,1379,Brian,Zaneta,0,2,1379
205,56,288,913,Piggy,Alix,0,2,913
206,19,3249,3710,Karylin,Gregor,1,2,3710
207,64,285,2442,Carlos,Maury,0,2,2442
208,92,4476,3575,Muffin,Yorker,2,1,4476
209,71,3004,4532,Manda,Kermie,2,0,3004
210,97,3203,1939,Julianna,Teodoor,1,2,1939
211,20,2444,3773,Inger,Kissie,2,0,2444
212,42,4799,1577,Melina,Manda,2,1,4799
213,28,4481,2240,Julissa,Alvan,1,2,2240
214,76,4995,2302,Ceciley,Electra,2,1,4995
215,19,2999,4635,Brooke,Sergent,1,2,4635
216,116,1009,2050,Colette,Stoddard,0,2,2050
217,5,1156,3191,Pat,Kay,1,2,3191
218,33,4101,509,Lindy,Holly-anne,2,0,4101
219,42,3736,1739,Tamra,Bucky,0,2,1739
220,41,1468,452,Verena,April,2,1,1468
221,57,1805,3527,Melany,Billie,1,2,3527
222,21,339,4230,Sunny,Conn,1,2,4230
223,17,4735,4669,Layne,Walton,1,2,4669
224,84,2826,2503,Westbrooke,Mikey,0,2,2503
225,111,100,4941,Brenden,George,0,2,4941
226,20,875,3495,Bruis,Benedetto,2,0,875
227,55,2897,1163,Nickey,Norbie,2,1,2897
228,59,4664,1822,Baxy,Nathaniel,2,1,4664
229,107,3633,4792,Skip,Janine,0,2,4792
230,29,390,422,Noemi,Sven,0,2,422
231,29,764,354,Elvera,Lea,0,2,354
232,53,1355,2845,Abraham,Giralda,2,1,1355
233,90,2783,2640,Janelle,Theda,2,1,2783
234,96,1109,4134,Rem,Jillana,1,2,4134
235,28,2509,525,Federica,Base,0,2,525
236,79,1191,1299,Henrik,Pamelina,0,2,1299
237,28,1946,3327,Gordy,Steward,1,2,3327
238,62,4868,2379,Elke,Minnaminnie,1,2,2379
239,97,4456,3536,Britt,Kippie,1,2,3536
240,17,1171,2170,Monro,Nelson,1,2,2170
241,86,4636,4376,Tillie,Tiphani,2,1,4636
242,4,523,673,Lin,Jilli,0,2,673
243,95,2489,990,Corella,Marti,0,2,990
244,1,390,1312,Hilliary,Basilio,0,2,1312
245,19,868,3910,Maridel,Latia,1,2,3910
246,22,739,3089,Emily,Ashien,1,2,3089
247,33,780,4070,Melvyn,Judon,1,2,4070
248,72,4950,74,Conny,Hertha,1,2,74
249,77,1865,2570,Franky,Kippar,1,2,2570
250,44,4577,3322,Ophelie,Udall,0,2,3322
251,45,4867,2135,Micky,Lowe,0,2,2135
252,82,36,3191,Ardis,Marcel,0,2,3191
253,96,2523,1946,Karrie,Jacqui,1,2,1946
254,15,3107,2598,Quinn,Dennis,0,2,2598
255,52,3698,4845,Ambrosi,Lelia,0,2,4845
256,36,811,4718,Madison,Lyn,1,2,4718
257,26,3072,4156,Petronella,Joshia,0,2,4156
258,113,1083,4145,Crista,Elbertine,2,1,1083
259,95,4832,1388,Yevette,Ingunna,1,2,1388
260,58,2990,7,Orelia,Katy,0,2,7
261,44,4204,3567,Zebulen,Erda,2,0,4204
262,46,4517,3427,Annabel,Dory,1,2,3427
263,12,166,1681,Binky,Beth,1,2,1681
264,38,2904,1242,Fowler,Hortense,0,2,1242
265,44,4953,204,Denney,Marys,2,1,4953
266,36,2781,1158,Abbey,Mayne,2,0,2781
267,46,1689,410,Brianne,Ilsa,1,2,410
268,53,1597,1929,Jourdain,Oralle,1,2,1929
269,84,4331,3158,Lucien,Amelia,1,2,3158
270,72,3340,197,Odella,Floris,2,1,3340
271,118,204,4938,Elly,Ange,0,2,4938
272,34,1788,994,Kristin,Kenon,2,1,1788
273,11,68,2568,Karon,Jeremie,2,0,68
274,39,2680,4000,Farleigh,Hedda,0,2,4000
275,99,2179,1723,Gearard,Julee,1,2,1723
276,100,2026,2375,Kora,Jon,1,2,2375
277,61,2168,1290,Ettie,Wenonah,1,2,1290
278,89,4049,3729,Melony,Marcela,0,2,3729
279,6,3935,1904,Jaimie,Wain,0,2,1904
280,12,461,2230,Charlean,Anna,1,2,2230
281,65,4259,3973,Ignaz,Kalli,2,1,4259
282,38,1758,4874,Frannie,Tracy,0,2,4874
283,16,2132,129,Hendrick,Larisa,0,2,129
284,4,794,3524,Sollie,Harvey,1,2,3524
285,35,1153,1255,Broddie,Freddie,2,0,1153
286,14,2278,2493,Holly,Culley,2,1,2278
287,75,2211,567,Emelen,Erv,2,1,2211
289,40,1494,4790,Paulette,Monte,2,0,1494
290,14,4999,1477,Ethelind,Rupert,1,2,1477
291,33,4565,4551,Sascha,Samaria,2,1,4565
292,8,1651,842,Marie-ann,Veronica,0,2,842
293,112,1962,1868,Archibaldo,Lida,2,0,1962
294,70,2387,3620,Ingeberg,Pinchas,0,2,3620
295,112,4054,852,Elton,Missie,1,2,852
296,112,3770,239,Kylen,Georgine,1,2,239
297,18,1245,34,Cully,Hillyer,1,2,34
298,93,2202,1808,Corrie,Finn,1,2,1808
299,111,101,4250,Phylys,Lena,0,2,4250
300,38,4054,1615,Marian,Rhodie,0,2,1615
301,11,1218,866,Mella,Kennie,2,1,1218
302,59,3994,3583,Darill,Kimbra,1,2,3583
303,68,320,1432,Emlyn,Terri,2,0,320
304,62,974,3100,Cammie,Chrystal,2,0,974
305,67,993,1544,Ryun,Adrian,2,1,993
306,31,2964,3859,Reyna,Kali,1,2,3859
307,82,4916,2959,Lin,Jae,0,2,2959
308,73,3602,4384,Sheba,Neale,1,2,4384
309,79,4188,3241,Rebe,Rebeka,0,2,3241
310,92,4153,4619,Foss,Derril,2,1,4153
311,13,102,62,Hercule,Barnard,2,0,102
312,31,4440,2670,Skippy,Arnuad,2,0,4440
313,60,3752,4459,Alanah,Mady,1,2,4459
314,111,30,4251,Letti,Lou,2,1,30
315,30,938,1713,Peta,Wright,2,1,938
316,106,4135,110,Ernest,Raynor,2,1,4135
317,37,3624,2733,Darby,Bambie,1,2,2733
318,49,2661,1321,Erhard,Aeriell,1,2,1321
319,99,2522,1863,Fania,Sabina,2,1,2522
320,26,3952,3301,Millisent,Mano,1,2,3301
321,4,3917,3604,Rahel,Rubi,1,2,3604
322,46,3144,4428,Felipe,Jemmy,2,1,3144
323,72,680,1740,Boycey,Carolan,2,0,680
324,80,412,4668,Elvin,Kathryn,2,0,412
325,23,2391,2482,Francklin,Jessa,1,2,2482
326,68,1076,3921,Mariam,Lizzy,0,2,3921
327,67,2440,3871,Teddy,Kaleena,2,1,2440
328,120,4155,574,Doti,Kai,1,2,574
329,10,4637,3496,Lief,Kara,2,1,4637
330,21,4013,3055,Mavis,Lane,1,2,3055
331,94,394,4952,Romeo,Kamilah,2,0,394
332,49,1485,3120,Berne,Adele,0,2,3120
333,97,269,2896,Doralyn,Violet,1,2,2896
334,25,981,4133,Tedi,Millard,1,2,4133
335,14,4910,4345,Ravid,Audra,0,2,4345
336,88,594,1742,Murial,Constantine,1,2,1742
337,51,4671,2940,Nickie,Yanaton,2,0,4671
338,108,1272,4482,Jeanie,Holli,1,2,4482
339,41,2722,790,Sully,Fifine,0,2,790
340,50,836,4125,Teddy,Isaiah,0,2,4125
341,49,2870,3437,Fonz,Jami,0,2,3437
342,24,4922,324,Northrup,Fred,1,2,324
343,50,2359,1512,Nikkie,Phyllys,0,2,1512
344,24,4633,4378,Paulina,Haroun,0,2,4378
345,16,4956,2705,Sibella,Riannon,2,0,4956
346,16,1813,2973,Harli,Rivy,0,2,2973
347,43,3669,4809,Xena,Bartholomeus,2,1,3669
348,80,2873,4834,Regina,Claire,1,2,4834
349,26,1541,2002,Leigh,Jamal,0,2,2002
350,84,2724,2713,Alfonse,Alyda,0,2,2713
351,9,2272,2626,Nikolaus,Lilian,0,2,2626
352,98,206,4713,Josephine,Malvin,2,0,206
353,30,4237,1669,Lotte,Meta,2,0,4237
354,29,2313,2287,Tucky,Otis,1,2,2287
355,114,76,1085,Hilary,Collin,0,2,1085
356,63,2502,4731,Fee,Roderigo,2,0,2502
357,63,2696,677,Levey,Ham,2,0,2696
358,9,4353,16,Paton,Hurlee,0,2,16
359,22,4823,1093,Corrina,Marcile,1,2,1093
360,111,4787,2783,Shayla,Trip,0,2,2783
361,24,3225,129,Arlin,Mellisa,2,0,3225
362,87,2995,739,Darwin,Lyndell,2,0,2995
363,59,2513,3841,Stuart,Pavia,2,1,2513
364,109,2089,3999,Elbertina,Ryley,2,0,2089
365,107,3060,1679,Pearline,Adams,2,0,3060
366,115,3757,1652,Rayna,Ethelind,2,1,3757
367,29,2869,3481,Aldrich,Marie,2,0,2869
368,90,4964,2214,Myrna,Celle,0,2,2214
369,61,1597,4082,Vasilis,Adrianne,2,0,1597
370,70,2575,2472,Anne-marie,Jere,1,2,2472
371,119,2374,2087,Collie,Shantee,1,2,2087
372,69,4787,3084,Richmound,Mellisent,0,2,3084
373,56,2545,2624,Madelle,Berny,0,2,2624
374,65,3076,4021,Mirabella,Garrik,2,1,3076
375,17,2637,1406,Cyrillus,Martin,2,1,2637
376,92,579,2569,Johannah,Mirabella,1,2,2569
377,58,1424,4245,Rickie,Skell,1,2,4245
378,80,211,3817,Rolph,Drusi,1,2,3817
379,64,1292,2874,Bentlee,Rubina,0,2,2874
380,13,1736,3058,Buck,Alasteir,0,2,3058
381,106,1559,3593,Jacquelyn,Adriena,2,1,1559
382,16,4886,1539,Gherardo,Jemmie,0,2,1539
383,15,4974,2161,Amie,Danell,1,2,2161
384,26,55,1028,Bernhard,Desiri,1,2,1028
385,105,394,2904,Quent,Lorenzo,2,0,394
386,118,1393,1212,Elaina,Bale,2,0,1393
387,53,2787,4624,Mada,Ursulina,1,2,4624
388,31,40,1722,Tricia,Milzie,0,2,1722
389,85,1283,3431,Jo-ann,Welsh,1,2,3431
390,95,2573,4693,Dwight,Shawn,1,2,4693
391,49,4415,4828,Lucie,Eduard,0,2,4828
392,62,3376,1755,Louella,Odell,2,1,3376
393,94,852,4221,Fraser,Howie,0,2,4221
394,7,2161,1660,Tamas,Eli,0,2,1660
395,79,1854,136,Erminia,Brockie,0,2,136
396,83,2932,4664,Arlana,Anson,1,2,4664
397,48,4263,3518,Manny,Christen,0,2,3518
398,84,384,474,Anne-corinne,Christian,0,2,474
399,75,3617,698,Hy,Massimiliano,1,2,698
400,63,4475,1925,Harvey,Cornell,2,0,4475
401,63,205,1060,Austine,Berkley,2,0,205
402,85,447,3632,Pepillo,Darwin,2,0,447
403,100,3397,4444,Loria,Ernest,1,2,4444
404,58,2876,4296,Ileane,Jean,1,2,4296
405,74,4382,1251,Michel,Millisent,1,2,1251
406,78,1903,1375,Zechariah,Josepha,2,0,1903
407,105,277,4867,Mordy,Madelyn,2,1,277
408,75,2005,393,Abbie,Kanya,1,2,393
409,116,4226,1051,Siana,Meredeth,1,2,1051
410,1,2008,2499,Portie,Ervin,1,2,2499
411,76,4878,1832,Aldus,Concordia,2,1,4878
412,108,2889,4746,Katrina,Rosabelle,1,2,4746
413,54,3916,314,Eddy,Florrie,1,2,314
414,110,3843,1909,Kitty,Delinda,1,2,1909
415,31,3578,2579,Graig,Joni,1,2,2579
416,35,4435,1824,D'arcy,Marty,1,2,1824
417,97,754,457,Shayla,Celeste,0,2,457
418,102,4715,2181,Aggi,Jo,1,2,2181
419,22,2621,3940,Reed,Inigo,0,2,3940
420,4,2854,2925,Maximo,Victoria,2,1,2854
421,96,4263,4970,Aime,Analise,1,2,4970
422,63,113,655,Andreas,Bellina,1,2,655
423,51,3675,2447,Helaine,Concordia,0,2,2447
424,111,6,3817,Scarface,Gilda,1,2,3817
425,68,2632,3942,Pearline,Archaimbaud,0,2,3942
426,47,4429,512,Beulah,Auria,1,2,512
427,45,3696,4002,Glenine,Francisca,2,0,3696
428,49,3726,550,Frasier,Bran,0,2,550
429,88,1241,3417,Meggy,Laure,2,1,1241
430,60,657,2338,Lianne,Elaine,1,2,2338
431,43,3480,3015,Shir,Aldwin,1,2,3015
432,45,1233,1563,Charyl,Agatha,0,2,1563
433,85,2229,4376,Zollie,Celestine,2,1,2229
434,116,522,2939,Aloin,Cam,1,2,2939
435,96,4387,3244,Griffie,Karleen,0,2,3244
436,16,3499,2400,Georgie,Britt,2,1,3499
437,23,1001,1295,Doyle,Cammy,1,2,1295
438,72,4915,2071,Jacquette,Christine,0,2,2071
439,93,3386,31,Haley,Cam,0,2,31
440,80,700,754,Mel,Hamlin,0,2,754
441,22,1546,1280,Darcy,Frazer,0,2,1280
442,3,86,2505,Kenn,Laurie,0,2,2505
443,93,873,2544,Bertine,Dimitry,2,1,873
444,48,1040,3742,Jamey,Demott,0,2,3742
445,9,1228,3670,Darelle,Jamill,1,2,3670
446,24,606,3947,Skelly,Daryl,1,2,3947
447,66,4959,2748,Inglis,Saloma,0,2,2748
448,71,1141,4566,Beckie,Alisander,0,2,4566
449,42,4954,949,Amelita,Desmond,1,2,949
450,105,4938,2396,Emmeline,Reube,0,2,2396
451,22,2832,3812,Dyan,Anne,0,2,3812
452,73,3250,4483,Rodd,Arleen,2,1,3250
453,93,2067,1537,Catlaina,Maressa,2,1,2067
454,46,2561,4202,Erek,Hope,2,1,2561
455,106,1874,4833,Karlee,Daphna,0,2,4833
456,17,3751,4265,Gabi,Sophey,1,2,4265
457,6,3872,1809,Kordula,Arlen,0,2,1809
458,40,952,2441,Reade,Estrellita,0,2,2441
459,5,2851,672,Griselda,Shay,1,2,672
460,109,3695,278,Doreen,Bernardo,1,2,278
461,84,3860,975,Chen,Amy,1,2,975
462,1,639,2641,Sephira,Marika,2,1,639
463,12,4641,1937,Therese,Hedi,0,2,1937
464,46,3842,2265,Emmalynn,Wallie,2,1,3842
465,74,4970,93,Patricio,Rupert,1,2,93
466,55,4414,4090,Ahmed,Arlina,1,2,4090
467,1,666,2416,Imogen,Perla,1,2,2416
468,92,331,1442,Susanetta,Lucienne,2,1,331
469,119,2075,3675,Daisy,Yulma,0,2,3675
470,12,3870,4612,Beitris,Eleonore,0,2,4612
471,85,2582,4739,Yale,Gavin,2,1,2582
472,67,967,3954,Tiphanie,Ravid,0,2,3954
473,57,2217,416,Colver,Geraldine,2,1,2217
474,15,3469,2675,Marcelline,Timofei,2,1,3469
475,111,3308,4173,Baily,Vinni,2,0,3308
476,60,3474,1050,Johan,Lorant,1,2,1050
477,48,1367,368,Bobby,Fulvia,2,1,1367
478,106,1985,1285,Josephina,Belicia,2,0,1985
479,104,3840,1930,Rebeka,Barnabe,0,2,1930
480,1,2076,543,Dahlia,Blair,0,2,543
481,8,4715,4310,Krissie,Jayme,2,0,4715
482,63,3698,3327,Clayborne,Carlina,2,1,3698
483,48,2263,4390,Staci,Maxwell,0,2,4390
484,27,3861,182,Kelbee,Cherey,0,2,182
485,85,4475,734,Rosemarie,Giffie,1,2,734
486,68,2436,2131,Tiffie,Zsa zsa,2,0,2436
487,52,4184,2122,Elva,Florette,0,2,2122
488,116,862,617,Carrissa,Cleon,0,2,617
489,5,3481,820,Preston,Natty,0,2,820
490,30,4524,3244,Mina,Livvie,0,2,3244
491,78,3013,17,Dannie,Elfreda,2,1,3013
492,34,2355,1149,Gibbie,Florance,0,2,1149
493,52,3513,1715,Randolf,Jenny,2,1,3513
494,7,3022,3023,Derrek,Chris,2,0,3022
495,109,4801,2691,Claudianus,Tildy,1,2,2691
496,23,2664,1326,Rivy,Staffard,0,2,1326
497,15,1761,4607,Corry,Margie,2,1,1761
498,63,333,302,Maxie,Coralie,0,2,302
499,71,7,3762,Margy,Izak,0,2,3762
500,25,1415,4918,Luis,Marchelle,1,2,4918
501,107,3251,4913,Friedrick,Naomi,2,1,3251
502,96,2567,460,Vonnie,Syd,0,2,460
503,112,3903,96,Tatum,Kare,1,2,96
504,39,131,985,Jarvis,Diena,2,0,131
505,116,2569,1917,Tiebout,Calley,0,2,1917
506,23,4855,3520,Leann,Denys,1,2,3520
507,18,3121,506,Belvia,Averill,1,2,506
508,27,1707,1973,Maxine,Cliff,0,2,1973
509,33,1384,4683,Maxim,Sapphira,1,2,4683
510,118,4694,2806,Dorey,Merry,1,2,2806
511,90,747,1925,Gabi,Adora,0,2,1925
512,10,1643,4711,Rex,Gilburt,0,2,4711
513,34,442,4527,Free,Lalo,1,2,4527
514,10,1036,3310,Kaja,Daren,2,0,1036
515,68,4495,2825,Knox,Thorndike,0,2,2825
517,24,2247,1601,Krystle,Quint,0,2,1601
518,60,2241,911,Victor,Michal,0,2,911
519,112,4194,4734,Wiley,Konstantin,0,2,4734
520,75,227,1440,Edie,Leanor,1,2,1440
521,21,3577,4608,Harbert,Chloris,0,2,4608
522,48,1950,1503,Janene,Marget,1,2,1503
523,96,1169,4460,Rudolph,Electra,0,2,4460
524,73,1004,4165,Delcina,Patricio,2,0,1004
525,87,4188,546,Patty,Fernando,0,2,546
526,3,1726,3610,Annmaria,Tanny,0,2,3610
527,78,4975,1026,Noah,Emmanuel,1,2,1026
528,69,1736,4679,Gerianne,Rosita,0,2,4679
529,87,1498,79,Shane,Kare,1,2,79
530,51,2942,3593,Freda,Felizio,1,2,3593
531,67,4507,125,Jaimie,Tandi,0,2,125
532,52,2237,2442,Harwell,Tammy,2,0,2237
